Serial,DC Number,Party Name,Party Place,Party Taluka,Party District,Crop,Variety,Packet,Date,Transport,LR Number,Freight
183,MRN-85,Mahesh Krushi Seva Kendra,Ramnagar,AURANGABAD,Aurangabad,Cotton,Super-971,20,8/10/2022,,,
184,MRN-86,Taori Krishi Kendra,Kelzer,Hinganghat,Wardha,Cotton,Super-931,23,8/9/2022,,,
185,MRN-86,Taori Krishi Kendra,Kelzer,Hinganghat,Wardha,Cotton,Super-971,29,8/10/2022,,,
186,MRN-87,Choudhary Brothers,Nagpur,Nagpur,Nagpur,Cotton,Super-971,44,8/12/2022,,,
187,MRN-87,Choudhary Brothers,Nagpur,Nagpur,Nagpur,Cotton,Super-931,37,8/12/2022,,,
188,MRN-88,Adinath traders-Goregaon,Goregaon,Gondia,Gondia,Paddy,Gitanjali,94,8/13/2022,,,
189,MRN-89,Om Sai Krushi Seva Kendra,Shevgaon,vaijapur,Aurangabad,Maize,Super-1177,20,8/13/2022,,,
190,MRN-89,Om Sai Krushi Seva Kendra,Shevgaon,vaijapur,Aurangabad,Maize,Super-777,10,8/13/2022,,,
191,MRN-90,Shree Satpuda Traders,Dhule,Dhule,Dhule,Cotton,Super-971,132,8/16/2022,,,
192,MRN-90,Shree Satpuda Traders,Dhule,Dhule,Dhule,Cotton,Super-931,263,8/16/2022,,,
193,MRN-91,Nitin Marketing Services-Bhabdara,Bhandara,Bhandara,Bhandara,Paddy,Priyanka,43,8/14/2022,,,
194,MRN-91,Nitin Marketing Services-Bhabdara,Bhandara,Bhandara,Bhandara,Paddy,Devika,6,8/16/2022,,,
195,MRN-91,Nitin Marketing Services-Bhabdara,Bhandara,Bhandara,Bhandara,Paddy,Gitanjali,1,8/16/2022,,,
196,MRN-91,Nitin Marketing Services-Bhabdara,Bhandara,Bhandara,Bhandara,Paddy,Puja,1,8/16/2022,,,
197,MRN-92,Mauli Agro Agencies,Bhusawal,Bhusawal,Jalgaon,Paddy,Gitanjali,301,8/16/2022,,,
198,MRN-92,Mauli Agro Agencies,Bhusawal,Bhusawal,Jalgaon,Paddy,Priyanka,369,8/17/2022,,,
199,MRN-92,Mauli Agro Agencies,Bhusawal,Bhusawal,Jalgaon,Paddy,Anjali,48,8/17/2022,,,
200,MRN-93,Sagar Krushi Seva Kendra,Vaijapur,Vaijapur,Aurangabad,Maize,Super-777,30,8/18/2022,,,
201,MRN-40,Shital Agro Agencies,Warud,Amravati,Amravati,Cotton,Super-971,83,7/24/2022,,,
202,MRN-96,Vardhaman Seeds,Nandurbar,Nandurbar,Nandurbar,Bajra,Super-78,80,8/19/2022,,,
203,MRN-97,Adarsh Agro services,sakoli,sakoli,Bhandara,Paddy,Gitanjali,146,8/22/2022,,,
204,MRN-97,Adarsh Agro services,sakoli,sakoli,Bhandara,Paddy,Priyanka,297,8/22/2022,,,
205,MRN-97,Adarsh Agro services,sakoli,sakoli,Bhandara,Paddy,Devika,78,8/22/2022,,,
206,MRN-97,Adarsh Agro services,sakoli,sakoli,Bhandara,Paddy,Puja,38,8/22/2022,,,
207,MRN-94,Shree Sai Krushi Seva Kendra,Vadsa,Vadsa,Gadchiroli,Paddy,Gitanjali,243,8/19/2022,,,
208,MRN-94,Shree Sai Krushi Seva Kendra,Vadsa,Vadsa,Gadchiroli,Paddy,Puja,35,8/19/2022,,,
209,MRN-94,Shree Sai Krushi Seva Kendra,Vadsa,Vadsa,Gadchiroli,Paddy,Devika,64,8/19/2022,,,
210,MRN-94,Shree Sai Krushi Seva Kendra,Vadsa,Vadsa,Gadchiroli,Paddy,Anjali,77,8/19/2022,,,
211,MRN-95,Dipak Krushi Kendra,Bramhapuri,Bramhapuri,Chandrapur,Paddy,Priyanka,280,8/19/2022,,,
212,MRN-95,Dipak Krushi Kendra,Bramhapuri,Bramhapuri,Chandrapur,Paddy,Gitanjali,179,8/19/2022,,,
